date,product,h,y,yhat,model
2025-02-27,Americano,4,5.0,5.714285714285714,ma7
2025-02-28,Americano,5,7.0,5.714285714285714,ma7
2025-03-01,Americano,6,4.0,5.714285714285714,ma7
2025-03-02,Americano,7,2.0,5.714285714285714,ma7
2025-02-24,Americano with Milk,1,7.0,2.5714285714285716,ma7
2025-02-25,Americano with Milk,2,2.0,2.5714285714285716,ma7
2025-02-26,Americano with Milk,3,3.0,2.5714285714285716,ma7
2025-02-27,Americano with Milk,4,1.0,2.5714285714285716,ma7
2025-02-28,Americano with Milk,5,4.0,2.5714285714285716,ma7
2025-03-01,Americano with Milk,6,1.0,2.5714285714285716,ma7
2025-03-02,Americano with Milk,7,2.0,2.5714285714285716,ma7
2025-02-24,Cappuccino,1,1.0,2.142857142857143,ma7
2025-02-25,Cappuccino,2,3.0,2.142857142857143,ma7
2025-02-26,Cappuccino,3,1.0,2.142857142857143,ma7
2025-02-27,Cappuccino,4,4.0,2.142857142857143,ma7
2025-02-28,Cappuccino,5,1.0,2.142857142857143,ma7
2025-03-01,Cappuccino,6,2.0,2.142857142857143,ma7
2025-03-02,Cappuccino,7,0.0,2.142857142857143,ma7
2025-02-24,Cocoa,1,5.0,1.8571428571428572,ma7
2025-02-25,Cocoa,2,1.0,1.8571428571428572,ma7
2025-02-26,Cocoa,3,1.0,1.8571428571428572,ma7
2025-02-27,Cocoa,4,4.0,1.8571428571428572,ma7
2025-02-28,Cocoa,5,1.0,1.8571428571428572,ma7
2025-03-01,Cocoa,6,0.0,1.8571428571428572,ma7
2025-03-02,Cocoa,7,1.0,1.8571428571428572,ma7
2025-02-24,Cortado,1,0.0,0.0,ma7
2025-02-25,Cortado,2,0.0,0.0,ma7
2025-02-26,Cortado,3,1.0,0.0,ma7
2025-02-27,Cortado,4,0.0,0.0,ma7
2025-02-28,Cortado,5,0.0,0.0,ma7
2025-03-01,Cortado,6,0.0,0.0,ma7
2025-03-02,Cortado,7,0.0,0.0,ma7
2025-02-24,Espresso,1,0.0,0.8571428571428571,ma7
2025-02-25,Espresso,2,1.0,0.8571428571428571,ma7
2025-02-26,Espresso,3,0.0,0.8571428571428571,ma7
2025-02-27,Espresso,4,1.0,0.8571428571428571,ma7
2025-02-28,Espresso,5,1.0,0.8571428571428571,ma7
2025-03-01,Espresso,6,0.0,0.8571428571428571,ma7
2025-03-02,Espresso,7,0.0,0.8571428571428571,ma7
2025-02-24,Hot Chocolate,1,1.0,1.2857142857142858,ma7
2025-02-25,Hot Chocolate,2,0.0,1.2857142857142858,ma7
2025-02-26,Hot Chocolate,3,3.0,1.2857142857142858,ma7
2025-02-27,Hot Chocolate,4,0.0,1.2857142857142858,ma7
2025-02-28,Hot Chocolate,5,0.0,1.2857142857142858,ma7
2025-03-01,Hot Chocolate,6,0.0,1.2857142857142858,ma7
2025-03-02,Hot Chocolate,7,0.0,1.2857142857142858,ma7
2025-02-24,Latte,1,5.0,1.4285714285714286,ma7
2025-02-25,Latte,2,0.0,1.4285714285714286,ma7
2025-02-26,Latte,3,4.0,1.4285714285714286,ma7
2025-02-27,Latte,4,4.0,1.4285714285714286,ma7
2025-02-28,Latte,5,3.0,1.4285714285714286,ma7
2025-03-01,Latte,6,1.0,1.4285714285714286,ma7
2025-03-02,Latte,7,1.0,1.4285714285714286,ma7
2025-03-03,Americano,1,4.0,2.0,naive1
2025-03-04,Americano,2,9.0,2.0,naive1
2025-03-05,Americano,3,6.0,2.0,naive1
2025-03-06,Americano,4,3.0,2.0,naive1
2025-03-07,Americano,5,4.0,2.0,naive1
2025-03-08,Americano,6,4.0,2.0,naive1
2025-03-09,Americano,7,2.0,2.0,naive1
2025-03-03,Americano with Milk,1,2.0,2.0,naive1
2025-03-04,Americano with Milk,2,2.0,2.0,naive1
2025-03-05,Americano with Milk,3,3.0,2.0,naive1
2025-03-06,Americano with Milk,4,3.0,2.0,naive1
2025-03-07,Americano with Milk,5,3.0,2.0,naive1
2025-03-08,Americano with Milk,6,3.0,2.0,naive1
2025-03-09,Americano with Milk,7,2.0,2.0,naive1
2025-03-03,Cappuccino,1,4.0,0.0,naive1
2025-03-04,Cappuccino,2,1.0,0.0,naive1
2025-03-05,Cappuccino,3,3.0,0.0,naive1
2025-03-06,Cappuccino,4,2.0,0.0,naive1
2025-03-07,Cappuccino,5,2.0,0.0,naive1
2025-03-08,Cappuccino,6,1.0,0.0,naive1
2025-03-09,Cappuccino,7,2.0,0.0,naive1
2025-03-03,Cocoa,1,2.0,1.0,naive1
2025-03-04,Cocoa,2,2.0,1.0,naive1
2025-03-05,Cocoa,3,2.0,1.0,naive1
2025-03-06,Cocoa,4,1.0,1.0,naive1
2025-03-07,Cocoa,5,2.0,1.0,naive1
2025-03-08,Cocoa,6,0.0,1.0,naive1
2025-03-09,Cocoa,7,1.0,1.0,naive1
2025-03-03,Cortado,1,0.0,0.0,naive1
2025-03-04,Cortado,2,0.0,0.0,naive1
2025-03-05,Cortado,3,0.0,0.0,naive1
2025-03-06,Cortado,4,0.0,0.0,naive1
2025-03-07,Cortado,5,0.0,0.0,naive1
2025-03-08,Cortado,6,0.0,0.0,naive1
2025-03-09,Cortado,7,0.0,0.0,naive1
2025-03-03,Espresso,1,0.0,0.0,naive1
2025-03-04,Espresso,2,0.0,0.0,naive1
2025-03-05,Espresso,3,1.0,0.0,naive1
2025-03-06,Espresso,4,1.0,0.0,naive1
2025-03-07,Espresso,5,0.0,0.0,naive1
2025-03-08,Espresso,6,0.0,0.0,naive1
2025-03-09,Espresso,7,1.0,0.0,naive1
2025-03-03,Hot Chocolate,1,5.0,0.0,naive1
2025-03-04,Hot Chocolate,2,0.0,0.0,naive1
2025-03-05,Hot Chocolate,3,1.0,0.0,naive1
2025-03-06,Hot Chocolate,4,1.0,0.0,naive1
2025-03-07,Hot Chocolate,5,3.0,0.0,naive1
2025-03-08,Hot Chocolate,6,0.0,0.0,naive1
2025-03-09,Hot Chocolate,7,0.0,0.0,naive1
2025-03-03,Latte,1,5.0,1.0,naive1
2025-03-04,Latte,2,2.0,1.0,naive1
2025-03-05,Latte,3,3.0,1.0,naive1
2025-03-06,Latte,4,1.0,1.0,naive1
2025-03-07,Latte,5,3.0,1.0,naive1
2025-03-08,Latte,6,0.0,1.0,naive1
2025-03-09,Latte,7,0.0,1.0,naive1
2025-03-03,Americano,1,4.0,3.0,snaive7
2025-03-04,Americano,2,9.0,5.0,snaive7
2025-03-05,Americano,3,6.0,5.0,snaive7
2025-03-06,Americano,4,3.0,5.0,snaive7
2025-03-07,Americano,5,4.0,7.0,snaive7
2025-03-08,Americano,6,4.0,4.0,snaive7
2025-03-09,Americano,7,2.0,2.0,snaive7
2025-03-03,Americano with Milk,1,2.0,7.0,snaive7
2025-03-04,Americano with Milk,2,2.0,2.0,snaive7
2025-03-05,Americano with Milk,3,3.0,3.0,snaive7
2025-03-06,Americano with Milk,4,3.0,1.0,snaive7
2025-03-07,Americano with Milk,5,3.0,4.0,snaive7
2025-03-08,Americano with Milk,6,3.0,1.0,snaive7
2025-03-09,Americano with Milk,7,2.0,2.0,snaive7
2025-03-03,Cappuccino,1,4.0,1.0,snaive7
2025-03-04,Cappuccino,2,1.0,3.0,snaive7
2025-03-05,Cappuccino,3,3.0,1.0,snaive7
2025-03-06,Cappuccino,4,2.0,4.0,snaive7
2025-03-07,Cappuccino,5,2.0,1.0,snaive7
2025-03-08,Cappuccino,6,1.0,2.0,snaive7
2025-03-09,Cappuccino,7,2.0,0.0,snaive7
2025-03-03,Cocoa,1,2.0,5.0,snaive7
2025-03-04,Cocoa,2,2.0,1.0,snaive7
2025-03-05,Cocoa,3,2.0,1.0,snaive7
2025-03-06,Cocoa,4,1.0,4.0,snaive7
2025-03-07,Cocoa,5,2.0,1.0,snaive7
2025-03-08,Cocoa,6,0.0,0.0,snaive7
2025-03-09,Cocoa,7,1.0,1.0,snaive7
2025-03-03,Cortado,1,0.0,0.0,snaive7
2025-03-04,Cortado,2,0.0,0.0,snaive7
2025-03-05,Cortado,3,0.0,1.0,snaive7
2025-03-06,Cortado,4,0.0,0.0,snaive7
2025-03-07,Cortado,5,0.0,0.0,snaive7
2025-03-08,Cortado,6,0.0,0.0,snaive7
2025-03-09,Cortado,7,0.0,0.0,snaive7
2025-03-03,Espresso,1,0.0,0.0,snaive7
2025-03-04,Espresso,2,0.0,1.0,snaive7
2025-03-05,Espresso,3,1.0,0.0,snaive7
2025-03-06,Espresso,4,1.0,1.0,snaive7
